City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,egilsstadir,65.2653,-14.3948,-9.05,86,0,2.06,IS,1707878618
116,naivasha,-0.7167,36.4359,13.28,89,11,1.51,KE,1707878618
117,tolanaro,-25.0319,46.9987,25.04,94,40,5.14,MG,1707878618
118,rikaze,29.25,88.8833,0.04,37,80,0.42,CN,1707878618
119,nuku'alofa,-21.1333,-175.2,29.19,84,75,7.2,TO,1707878618
120,strezhevoy,60.7333,77.5889,-26.69,97,100,6.71,RU,1707878618
121,punta arenas,-53.15,-70.9167,13.06,62,100,4.12,CL,1707878552
122,irinjalakuda,10.3333,76.2333,23.94,62,35,1.77,IN,1707878516
123,luanda,-8.8368,13.2343,26.0,89,75,2.06,AO,1707878618
124,haiku-pauwela,20.9219,-156.3051,24.54,78,40,4.63,US,1707878618
125,hithadhoo,-0.6,73.0833,28.08,80,96,5.53,MV,1707878619
126,toliara,-23.35,43.6667,25.54,82,100,2.88,MG,1707878619
127,san pedro pochutla,15.7333,-96.4667,25.84,86,0,2.26,MX,1707878619
128,oamaru,-45.0784,170.9801,27.43,52,0,5.63,NZ,1707878619
129,jalalabad,34.4265,70.4515,11.24,28,5,1.9,AF,1707878380
130,shingu,33.7333,135.9833,18.25,54,33,3.65,JP,1707878619
131,sinabang,2.4803,96.3801,29.88,66,35,1.15,ID,1707878619
132,coquimbo,-29.9533,-71.3436,18.85,82,100,3.6,CL,1707878597
133,luderitz,-26.6481,15.1594,17.94,67,54,7.1,NA,1707878620
134,acarau,-2.8856,-40.12,26.4,84,100,3.09,BR,1707878325
135,al jawf,29.5,38.75,14.01,36,48,4.51,SA,1707878620
136,selfoss,63.9331,-20.9971,-9.98,84,12,2.92,IS,1707878620
137,woolgoolga,-30.1106,153.2007,28.93,61,23,5.95,AU,1707878620
138,port saint john's,-31.6229,29.5448,22.54,89,71,2.23,ZA,1707878620
139,aasiaat,68.7098,-52.8699,-30.03,93,18,5.29,GL,1707878620
140,santa lucia,27.9117,-15.5407,17.62,40,0,2.57,ES,1707878620
141,rio grande,-32.035,-52.0986,17.75,64,100,4.7,BR,1707878331
142,gisborne,-38.6533,178.0042,23.75,54,0,6.81,NZ,1707878620
143,sao joao da barra,-21.6403,-41.0511,24.84,91,96,5.93,BR,1707878621
144,saipan,15.1355,145.701,28.39,65,75,9.26,MP,1707878621
145,fortuna,40.5982,-124.1573,12.03,90,75,0.0,US,1707878621
146,kununurra,-15.7667,128.7333,31.99,66,47,3.09,AU,1707878621
147,qulsary,46.9531,54.0198,2.8,88,100,3.84,KZ,1707878621
148,zakamensk,50.3741,103.2863,-16.01,65,8,1.52,RU,1707878621
149,puerto baquerizo moreno,-0.9,-89.6,26.74,86,100,5.31,EC,1707878621
150,atafu village,-8.5421,-172.5159,28.0,84,100,9.7,TK,1707878621
151,mammoth lakes,37.6485,-118.9721,-1.48,50,0,2.57,US,1707878622
152,cambridge,43.3601,-80.3127,-2.29,67,100,6.69,CA,1707878622
153,carnarvon,-24.8667,113.6333,33.05,43,0,3.49,AU,1707878622
154,miguel ahumada,30.6167,-106.5167,12.44,21,0,2.8,MX,1707878622
155,midland,31.9974,-102.0779,13.37,32,0,4.12,US,1707878622
156,minas de marcona,-15.2119,-75.1103,19.48,85,81,4.31,PE,1707878622
157,as sulayyil,20.4607,45.5779,15.14,43,0,3.89,SA,1707878622
158,nyala,12.05,24.8833,22.09,16,17,4.5,SD,1707878622
159,luau,-10.7073,22.2247,18.4,96,86,0.38,AO,1707878622
160,kerikeri,-35.2268,173.9474,22.58,51,0,4.02,NZ,1707878622
161,saldanha,-33.0117,17.9442,16.03,93,100,3.73,ZA,1707878623
162,polyarnyy,69.1989,33.4478,-18.3,95,95,7.67,RU,1707878623
163,valparaiso,-33.0393,-71.6273,18.8,77,75,2.57,CL,1707878623
164,myitkyina,25.3833,97.4,22.15,37,94,1.04,MM,1707878623
165,la sarre,48.8002,-79.1996,-14.76,92,100,3.89,CA,1707878424
166,labytnangi,66.6572,66.4183,-23.86,89,35,5.69,RU,1707878623
167,kruisfontein,-34.0033,24.7314,18.22,90,73,4.53,ZA,1707878623
168,bezenchuk,52.982,49.4333,-25.06,100,69,1.35,RU,1707878623
169,nieuw amsterdam,5.8833,-55.0833,26.09,81,31,4.35,SR,1707878623
170,mednogorsk,51.4128,57.595,-11.68,91,100,2.43,RU,1707878624
171,ilulissat,69.2167,-51.1,-23.99,53,2,0.51,GL,1707878624
172,chonchi,-42.6128,-73.8092,14.62,59,0,1.19,CL,1707878624
173,hadibu,12.65,54.0333,23.9,78,72,4.7,YE,1707878457
174,sisimiut,66.9395,-53.6735,-20.9,70,10,4.99,GL,1707878624
175,urangan,-25.3,152.9,26.22,87,75,2.68,AU,1707878624
176,xining,36.6167,101.7667,-1.91,57,71,1.44,CN,1707878624
177,conde,-7.2597,-34.9075,26.7,89,20,1.54,BR,1707878624
178,almonte,37.2647,-6.5167,16.42,83,100,4.37,ES,1707878625
179,la'ie,21.6477,-157.9253,26.7,70,57,0.34,US,1707878625
180,utrik,11.2278,169.8474,26.23,74,100,8.25,MH,1707878625
181,queenstown,-31.8976,26.8753,15.0,90,7,1.3,ZA,1707878533
182,vernon,50.2581,-119.2691,-1.26,80,45,1.03,CA,1707878625
183,tarakan,3.3,117.6333,29.72,70,40,2.57,ID,1707878625
184,calama,-22.4667,-68.9333,18.27,52,0,6.69,CL,1707877920
185,tsiombe,-25.3,45.4833,24.22,86,100,5.56,MG,1707878625
186,gorontalo,0.5412,123.0595,29.15,71,100,1.45,ID,1707878625
187,cabo san lucas,22.8909,-109.9124,19.61,59,100,3.6,MX,1707878428
188,singtam,27.2333,88.5,20.92,28,39,0.71,IN,1707878626
189,dongola,19.1667,30.4833,19.79,11,0,3.46,SD,1707878626
190,robbah,33.2797,6.9098,11.8,43,0,1.37,DZ,1707878626
191,buon ma thuot,12.6667,108.05,28.16,51,42,2.81,VN,1707878626
192,hoemul-li,41.4339,129.67,7.11,68,8,0.45,KP,1707878626
193,vaskelovo,60.3693,30.3534,-12.55,88,35,4.88,RU,1707878627
194,puerto colombia,10.9878,-74.9547,28.05,88,93,9.05,CO,1707878627
195,gislaved,57.3044,13.5408,2.0,87,100,2.36,SE,1707878627
196,kukmor,56.1855,50.8944,-24.69,100,54,2.25,RU,1707878627
197,bikenibeu village,1.3673,173.1241,29.98,79,75,3.6,KI,1707878627
198,ouro preto do oeste,-10.7481,-62.2158,22.58,97,100,1.2,BR,1707878627
199,mil'kovo,55.6078,37.7956,-10.73,93,100,4.59,RU,1707878627
200,fort mcmurray,56.7268,-111.381,-4.23,93,100,2.06,CA,1707878627
201,taoudenni,22.6783,-3.9836,23.52,21,45,5.42,ML,1707878628
202,hamilton,39.1834,-84.5333,7.97,54,100,3.09,US,1707878483
203,barcelos,41.5388,-8.6151,17.18,98,100,1.83,PT,1707878529
204,kalmunai,7.4167,81.8167,27.21,82,91,6.05,LK,1707878628
205,aykhal,66.0,111.5,-32.36,99,100,3.51,RU,1707878628
206,uturoa,-16.7333,-151.4333,26.95,82,100,10.57,PF,1707878628
207,arti,56.4234,58.5328,-26.04,96,39,2.07,RU,1707878628
208,lata,40.1629,-8.3327,16.56,96,100,1.84,PT,1707878628
209,mogocha,53.7333,119.7667,-15.1,54,100,2.29,RU,1707878629
210,diawara,15.022,-12.5437,28.26,9,60,3.54,SN,1707878629
211,qui nhon,13.7667,109.2333,24.06,82,88,2.88,VN,1707878629
212,chui,-33.6971,-53.4616,18.15,64,100,2.8,UY,1707878629
213,colonia,50.9333,6.95,10.03,77,100,4.12,DE,1707878520
214,bredasdorp,-34.5322,20.0403,16.89,91,56,2.08,ZA,1707878629
